step	Energy 					Momentum
490  1.0037450172412872e+00  1.2577093996238151e+00
491  1.0037450172412872e+00  1.2563449285540633e+00
492  1.0037450172412865e+00  1.2551235956314657e+00
493  1.0037450172412865e+00  1.2538437119959678e+00
494  1.0037450172412856e+00  1.2541127109375916e+00
495  1.0037450172412801e+00  1.2546594175817622e+00
496  1.0037450172412810e+00  1.2564593725203328e+00
497  1.0037450172412841e+00  1.2565331528284840e+00
498  1.0037450172412825e+00  1.2536607179378974e+00
499  1.0037450172412830e+00  1.2544871111669471e+00
500  1.0037450172412807e+00  1.2551402161789762e+00
501  1.0037450172412872e+00  1.2568303675830328e+00
502  1.0037450172412858e+00  1.2555818774709351e+00
503  1.0037450172412865e+00  1.2558765591618082e+00
504  1.0037450172412867e+00  1.2558743717775078e+00
505  1.0037450172412856e+00  1.2560237557329563e+00
506  1.0037450172412816e+00  1.2569581717178473e+00
507  1.0037450172412850e+00  1.2557861914094919e+00
508  1.0037450172412807e+00  1.2537675045440997e+00
509  1.0037450172412867e+00  1.2534216720074913e+00
510  1.0037450172412845e+00  1.2533218338683791e+00
511  1.0037450172412812e+00  1.2545326458299864e+00
512  1.0037450172412818e+00  1.2546052818233409e+00
513  1.0037450172412818e+00  1.2551918670145401e+00
514  1.0037450172412834e+00  1.2567943280256515e+00
515  1.0037450172412816e+00  1.2562973043613497e+00
516  1.0037450172412843e+00  1.2548009338774682e+00
517  1.0037450172412843e+00  1.2555804814512292e+00
518  1.0037450172412805e+00  1.2560613077702387e+00
519  1.0037450172412845e+00  1.2537818711052251e+00
520  1.0037450172412852e+00  1.2542743022305745e+00
521  1.0037450172412827e+00  1.2535476543699797e+00
522  1.0037450172412872e+00  1.2556641946956042e+00
523  1.0037450172412850e+00  1.2544378400726186e+00
524  1.0037450172412830e+00  1.2548316976349871e+00
525  1.0037450172412807e+00  1.2549102559274596e+00
526  1.0037450172412843e+00  1.2552798089066195e+00
527  1.0037450172412883e+00  1.2525923280226638e+00
528  1.0037450172412845e+00  1.2550233741337067e+00
529  1.0037450172412850e+00  1.2565462589621688e+00
530  1.0037450172412836e+00  1.2566016903076187e+00
531  1.0037450172412821e+00  1.2568146669796347e+00
532  1.0037450172412858e+00  1.2546350317007329e+00
533  1.0037450172412883e+00  1.2536092491665345e+00
534  1.0037450172412825e+00  1.2545798896610179e+00
535  1.0037450172412854e+00  1.2557297351056285e+00
